Name,People,Product,Place,Format,Location (System),Frequency Updated,Frequency Used,Recieved From,Recieved From - Department,Used By Department 1,Used By Department 2,Used By Department 3,Used By Department 4,Linkable Data 1,Linkable Data 2,Linkable Data 3,Linkable Data 4,Unit
Employee Creating Request,,1,,Lotus Notes,Lotus Notes,Daily,Daily,Larry Larder,Product Testing,,,,,Product,,,,
Employee Approving Request,,1,,Lotus Notes,Lotus Notes,Daily,Daily,Larry Larder,Product Testing,,,,,Product,,,,
Purpose of Test,,1,,Lotus Notes,Lotus Notes,Daily,Daily,Larry Larder,Product Testing,,,,,Product,,,,
Test Request Number,,1,,Lotus Notes,Lotus Notes,Daily,Daily,Larry Larder,Product Testing,,,,,Product,,,,
Test Status,,1,,Lotus Notes,Lotus Notes,Daily,Daily,Larry Larder,Product Testing,,,,,Product,,,,
BaaN Project Number,,1,,Lotus Notes,Lotus Notes,Daily,Daily,Larry Larder,Product Testing,,,,,Product,,,,
Baan Department,,1,,Lotus Notes,Lotus Notes,Daily,Daily,Larry Larder,Product Testing,,,,,Product,,,,
Project Number,,1,,Database,Baan,Daily,Daily,Larry Larder,Product Testing,,,,,Product,,,,
Project Department,,1,,Database,Baan,Daily,Daily,Larry Larder,Product Testing,,,,,Product,,,,
Test Classification,,1,,Test Request System,Test Request System,Daily,Daily,Larry Larder,Product Testing,,,,,Product,,,,
Seating Recommended for Settings,1,1,,Document,,Once,,Jeff Rhoads,Marketing,Marketing,,,,Product,Product Family,,,
Settings Recommended for Seating,1,1,,Document,,Once,,Jeff Rhoads,Marketing,Marketing,,,,Product,Product Family,,,
List of Products that Belong in Each Configuration,,1,,Spreadsheet,CSP System,Once,With Order,Jeff Faber,Engineering Services,Design/Development,,,,Product,Time,,,
Pricing of Products in Each Configuration,,1,,Spreadsheet,CSP System,Once,With Order,Jeff Faber,Engineering Services,Design/Development,,,,Product,Time,,,
Paid Search Criteria – Google Ad Words,1,,,PDF Report,Google Analytics,Daily,Monthly,Bill Bernhal,Digital Marketing,Marketing,,,,Time,Product,Product Family,Product Category,Budget / Search Term
HermanMiller.com Page Views,1,,,PDF Report,Google Analytics,Daily,Monthly,Kim Sobatta,Product Marketing,Marketing,,,,Time,Product Family,,,Page Views
HermanMiller.com Page Views,1,,,PDF Report,Google Analytics,Monthly,Monthly,Kim Sobatta,Product Marketing,Marketing,,,,Time,Product Family,,,% Change
Device Used to Access HermanMiller.com,1,,,PDF Report,Google Analytics,Daily,Monthly,Kim Sobatta,Product Marketing,Marketing,,,,Time,,,,% Share
% New Users Accessing HermanMiller.com,1,,,PDF Report,Google Analytics,Daily,Monthly,Kim Sobatta,Product Marketing,Marketing,,,,Time,,,,% Share
Page accessed first after HermanMiller.com home page,,,,PDF Report,Google Analytics,Daily,Monthly,Kim Sobatta,Product Marketing,Marketing,,,,Time,Product,Product Family,Product Category,% Share
